year,country,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,latitude,longitude,tavg,tmin,tmax,wdir,wspd,pres
2018,Albania,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,41.327546,19.818698,16.77917808,10.74575342,24.04246575,186.8132184,7.531578947,1013.884066
2018,Algeria,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,36.752887,3.042048,19.20958904,16.15260274,23.4698324,191.7033493,10.42044818,1016.630247
2018,Argentina,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.82,0.321,-34.603684,-58.381559,18.05013699,14.60767123,22.1505618,145.1811594,14.20317919,1015.566549
2018,Austria,7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,48.208174,16.373819,13.71671233,10.32082192,17.79726027,217.7048711,12.29835165,1016.432754
2018,Azerbaijan,5.168,9.562,0.781,65.5,0.772,-0.232,0.561,0.593,0.191,40.409262,49.867092,15.59668508,11.92292818,19.36933702,234.0561056,18.97127072,1017.002536
2018,Bangladesh,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,0.541,0.361,23.810332,90.412518,25.82109589,22.03905817,30.69366391,170.0397351,9.359214502,1008.068902
2018,Belarus,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,0.45,0.236,53.90454,27.561524,9.298082192,5.292032967,13.02802198,177.8205128,12.13435754,1017.203236
2018,Belgium,6.892,10.844,0.93,72,0.808,-0.125,0.63,0.75,0.25,50.85034,4.35171,12.1309589,8.370684932,16.21205479,176.8480663,12.25521978,1015.386264
2018,Benin,5.82,8.059,0.504,54.3,0.713,0.002,0.747,0.647,0.468,6.496857,2.628852,27.50110193,24.62095808,30.48937729,0,0,0
2018,Burkina Faso,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,0.711,0.343,12.371428,-1.51966,30.60849315,24.57292994,37.03641618,181.3882979,9.150622407,1011.389778
2018,Cambodia,5.122,8.333,0.795,61.6,0.958,0.036,0,0.845,0.414,11.544873,104.892167,28.29616438,24.39314079,31.9943128,151.4583333,10.12932692,1007.8875
2018,Canada,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.824,0.259,45.42153,-75.697193,6.813150685,1.889041096,11.73972603,199.6404494,12.59447514,1016.823876
2018,Chad,4.486,7.363,0.577,48.2,0.65,0.024,0.763,0.553,0.544,12.134846,15.055742,30.43305785,23.31121212,37.5971246,141.12,11.90559701,1009.922041
2018,China,5.131,9.632,0.788,69.3,0.895,-0.159,0,0.856,0.19,39.904211,116.407395,13.01835616,7.231318681,18.89587912,167.9679144,9.707520891,1016.343
2018,Comoros,3.973,8.028,0.621,57.2,0.56,0.086,0.794,0.748,0.337,-11.717216,43.247315,26.15030303,22.32848485,30.1569697,127.969697,13.12484848,1015.381707
2018,Croatia,5.536,10.224,0.91,70.2,0.691,-0.151,0.925,0.582,0.29,45.815011,15.981919,15.04986301,10.94027397,18.76821918,136,7.387743733,1019.263415
2018,Czech Republic,7.034,10.583,0.929,70.3,0.79,-0.292,0.851,0.714,0.178,50.075538,14.4378,12.6169863,7.843835616,17.00549451,192.1620879,10.92005495,1016.701374
2018,Denmark,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.821,0.206,55.676097,12.568337,9.883746556,6.869589041,12.64820937,187.2928177,17.32561983,1015.612983
2018,Dominican Republic,5.433,9.782,0.862,65.8,0.867,-0.15,0.762,0.745,0.291,18.486058,-69.931212,26.21232877,22.77044199,31.26243094,61.5254902,8.783976261,1015.590378
2018,Egypt,4.005,9.338,0.759,61.7,0.682,-0.215,0,0.492,0.285,30.04442,31.235712,24.29033149,19.75441989,29.2519337,160.6599327,14.22790055,1013.621791
2018,El Salvador,6.241,9.061,0.82,66.1,0.863,-0.095,0.801,0.86,0.27,13.69294,-89.218191,27.18472222,22.57944444,32.56388889,85.44067797,9.313649025,1010.796396
2018,Estonia,6.091,10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,59.436961,24.753575,7.02630137,3.514600551,10.27142857,179,11.44698413,1015.472286
2018,Finland,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,60.173324,24.941025,6.984931507,3.859726027,9.984383562,183.9364641,14.11983471,1015.226722
2018,France,6.666,10.727,0.921,73.8,0.816,-0.138,0.582,0.767,0.282,48.856614,2.352222,13.60109589,9.917808219,18.10082192,168.7486188,11.08264463,1015.986226
2018,Gabon,4.783,9.599,0.785,59.7,0.719,-0.197,0.823,0.641,0.418,0.416198,9.467268,26.49178082,23.24479769,29.0535503,199.6106557,12.01571906,1011.508244
2018,Gambia,4.922,7.671,0.685,55,0.719,0.44,0.691,0.804,0.379,13.454876,-16.579032,25.29203297,20.06104651,32.62614943,258.9913043,11.36943522,1010.268627
2018,Germany,7.118,10.89,0.92,72.2,0.877,0.034,0.496,0.78,0.243,52.520007,13.404954,11.4309589,7.189315068,15.77753425,179.0494505,13.13260274,1016.277808
2018,Ghana,5.004,8.555,0.761,57.2,0.817,0.062,0.846,0.747,0.25,5.603717,-0.186964,27.55123288,24.90797546,31.3748538,220.3982684,15.09170124,1011.973568
2018,Greece,5.409,10.299,0.794,72.4,0.564,-0.335,0.86,0.666,0.255,37.983917,23.72936,19.21178082,15.23666667,23.59526462,170.0404624,8.493432836,1015.893293
2018,Guinea,5.252,7.823,0.63,54.4,0.731,0.092,0.778,0.744,0.44,9.641185,-13.578401,26.92165242,23.56986301,30.49579288,242.8493151,8.495544554,1011.944578
2018,Hungary,5.936,10.344,0.941,67.6,0.693,-0.243,0.911,0.676,0.201,47.497912,19.040235,12.95068493,8.737569061,17.52032967,170.6040462,8.162138728,1016.748476
2018,India,3.818,8.779,0.638,60.1,0.89,0.085,0.805,0.657,0.357,28.613939,77.209021,26.29945205,19.90415512,33.70247934,194.277027,7.30668693,1009.168
2018,Indonesia,5.34,9.339,0.809,62.1,0.879,0.512,0.868,0.864,0.296,-6.208763,106.845599,28.25643836,25.29786585,31.87542857,144.5731707,8.06097561,1010.496951
2018,Iraq,4.886,9.274,0.764,60.2,0.598,-0.068,0.887,0.605,0.482,33.312806,44.361488,24.28706294,18.0993007,30.48741259,243.6164384,13.04240283,1009.952439
2018,Ireland,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,53.349805,-6.26031,9.995342466,6.577534247,14.39369863,188.6318681,18.91868132,1013.135165
2018,Israel,6.927,10.585,0.91,73.3,0.725,0.055,0.77,0.663,0.282,32.0853,34.781768,21.61561644,16.67808219,26.78,195.4773869,11.35357143,1012.909657
2018,Italy,6.517,10.65,0.913,73.6,0.65,-0.021,0.888,0.649,0.403,41.902784,12.496366,17.1309589,12.62335165,22.09390582,121.4511041,9.94265928,1014.279882
2018,Japan,5.794,10.623,0.886,75,0.773,-0.261,0.687,0.703,0.185,35.709026,139.731992,16.44109589,12.8401662,20.79201102,184.5028409,10.60649718,1014.231356
2018,Kazakhstan,6.008,10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,51.160523,71.470356,3.186027397,-1.250696379,9.220994475,188.525,12.01943662,1021.991463
2018,Kyrgyzstan,5.297,8.543,0.898,64.1,0.945,0.267,0.907,0.763,0.203,42.874621,74.569762,9.96,3.92238806,16.32537313,157.9113924,11.03562874,0
2018,Laos,4.859,8.935,0.705,58.7,0.907,0.141,0.634,0.852,0.332,17.975706,102.633104,27.46657534,23.42121212,32.6516129,177.4329268,5.076829268,1009.205488
2018,Latvia,5.901,10.307,0.913,66.8,0.608,-0.212,0.799,0.585,0.192,56.949649,24.105186,10.17804878,7.443292683,13.21829268,178.7682927,11.06646341,1017.355488
2018,Lebanon,5.167,9.656,0.829,67.1,0.607,-0.066,0.907,0.464,0.271,33.888629,35.495479,22.16383562,19.83835616,25.17440273,162.8309179,12.44349315,1013.910487
2018,Libya,5.494,9.617,0.824,62.3,0.781,-0.101,0.646,0.706,0.399,32.887209,13.191338,23.11097561,19.77682927,27.01280488,185.6646341,11.71402439,1016.955488
2018,Lithuania,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,54.687156,25.279651,8.522191781,4.570054945,12.86493151,183.8707483,12.10027548,1016.840129
